thresh,npix,tnpix,xmin,xmax,ymin,ymax,x,y,x2,y2,xy,errx2,erry2,errxy,a,b,theta,cxx,cyy,cxy,cflux,flux,cpeak,peak,xcpeak,ycpeak,xpeak,ypeak,flag,T,fwhm,r50,flux90,flux90_err,flux50,flux50_err,df
93.98372650146484,3136,3127,6638,6701,5633,5694,6669.277035084941,5663.668145059634,140.6222922116906,130.24464146622267,-0.4103724355971963,2.749723719674781e-07,2.590617276124118e-07,-9.327478957695883e-10,11.859109878540039,11.411767959594727,-0.03946172818541527,0.007111313287168741,0.007677929475903511,4.481239375309087e-05,2011820.125,2012556.875,2084.427490234375,2222.03662109375,6667,5665,6667,5665,0,16.45803553520022,23.275177063898493,15.350931477894076,2223928.4480686933,0.0,1113095.890983887,0.0,0.7860121302923248
93.98372650146484,3165,3156,7167,7231,5631,5694,7198.637794859885,5662.365899329363,141.24645682214862,132.77533661769723,0.2880200607913821,2.7323510083319247e-07,2.638290743822985e-07,-7.588940760538278e-10,11.885127067565918,11.522393226623535,0.03394797071814537,0.00707985507324338,0.007531552575528622,-3.071564788115211e-05,2024592.0,2025346.5,2086.4853515625,2103.623779296875,7199,5663,7199,5663,0,16.553603639082514,23.410330772539112,15.431759678893112,2239158.269417802,0.0,1120135.3059863283,0.0,0.7910071694471262
93.98372650146484,3235,3223,6103,6167,5635,5698,6135.188151346225,5666.350423258751,141.17776223932128,131.80249897132296,-0.7548179588444555,2.451914580420181e-07,2.3544943173384265e-07,-1.866294865162795e-09,11.884366035461426,11.477896690368652,-0.07982643693685532,0.007083485368639231,0.0075873420573771,8.113263174891472e-05,2187383.75,2188116.5,2308.787109375,2327.961669921875,6135,5666,6135,5665,0,16.522114308121836,23.365798133624462,15.27657571816576,2402953.659198226,0.0,1202236.9119262705,0.0,0.8545776434232626
93.98372650146484,3261,3245,5575,5639,5636,5699,5606.683848185212,5667.208937391412,142.30862427958527,131.77395234680102,-0.28710963483854357,2.3031233448941405e-07,2.1930181907769944e-07,-9.026208604084317e-10,11.929645538330078,11.47894287109375,-0.02722683735191822,0.007027011830359697,0.007588786538690329,3.062096584471874e-05,2279847.25,2280582.0,2391.61767578125,2407.0380859375,5607,5668,5607,5668,0,16.55543948756379,23.41292705435979,15.278492834514452,2502192.3460688777,0.0,1251218.5265087888,0.0,0.8906904139672229
93.98372650146484,3205,3195,4513,4576,5637,5700,4544.479570231144,5668.545750782463,140.5535350482479,133.72381594379033,-0.6762153732867091,2.61714267312698e-07,2.5825798350975367e-07,-1.6393046049999364e-09,11.85832405090332,11.561034202575684,-0.09774618595838547,0.0071148998104035854,0.007478281389921904,7.195733633125201e-05,2083390.75,2084104.75,2174.18603515625,2184.876708984375,4543,5668,4543,5668,0,16.561320931376162,23.42124467196559,15.41175694164125,2303734.427103041,0.0,1152322.6266821297,0.0,0.8139554387996378
93.98372650146484,3244,3226,5046,5110,5637,5700,5077.822279423471,5668.298028344738,141.64522516599118,132.46964630873356,-0.9710088748126964,2.529180267342506e-07,2.432350994796451e-07,-2.0160273112854597e-09,11.905749320983887,11.50512981414795,-0.104286327958107,0.007060247007757425,0.007549278438091278,0.00010350389493396506,2158969.75,2159687.25,2321.0927734375,2336.5341796875,5078,5668,5078,5668,0,16.556414813440885,23.414306373442916,15.324010568243512,2374091.5346676623,0.0,1186869.2530078127,0.0,0.8434744862242328
93.98372650146484,3231,3216,3984,4048,5638,5701,4015.5143342811875,5669.264070253789,140.88561742520835,132.98569223687514,0.04927670038955512,2.5334321935415686e-07,2.467302919404542e-07,-1.8332688432121596e-10,11.869537353515625,11.531929016113281,0.0062372926622629166,0.007097957655787468,0.007519606966525316,-5.260174020804698e-06,2141645.75,2142358.0,2215.748779296875,2228.245361328125,4015,5669,4015,5668,0,16.54905766689099,23.403901797011688,15.330815571832636,2358426.6093347175,0.0,1179193.846049804,0.0,0.8367064783840229
93.98372650146484,3168,3158,2922,2986,5640,5702,2953.768099325937,5671.185388971224,141.3136252036619,132.82230151693898,-1.3027978415458392,2.763003796221628e-07,2.676448625663491e-07,-2.854661924942059e-09,11.895755767822266,11.516375541687012,-0.1488664150238037,0.007077098358422518,0.007529537193477154,0.00013883253268431872,2013610.125,2014330.5,2047.2315673828125,2058.126708984375,2954,5672,2954,5672,0,16.557050664916165,23.415205603222915,15.417676830739486,2224891.408436205,0.0,1113075.6107275386,0.0,0.7867048266239948
93.98372650146484,3157,3140,3454,3517,5640,5702,3485.8425776010936,5671.2831165494035,140.8647216250863,131.28433530253847,-0.37905540988822395,2.766417313594325e-07,2.65544779510771e-07,-1.8423219690498902e-09,11.869275093078613,11.457283973693848,-0.03948349878191948,0.0070990645326673985,0.00761711411178112,4.099405850865878e-05,2009888.75,2010616.375,2099.236328125,2115.19775390625,3485,5671,3485,5671,0,16.49694083542839,23.330197467129366,15.357470236844852,2223524.381431196,0.0,1111951.5801464843,0.0,0.7852542602625239
93.98372650146484,3099,3091,1863,1926,5644,5705,1894.4432607161257,5674.7665212411775,139.8847719291715,130.4092613749864,-0.9801434992263012,2.917605371685665e-07,2.7740241113275674e-07,-3.080365116778639e-09,11.83152961730957,11.41529369354248,-0.10200072079896927,0.007149117533117533,0.007668571081012487,0.00010746416228357702,1925752.375,1926501.125,1981.1038818359375,2000.23291015625,1896,5674,1896,5674,0,16.44062143911105,23.25054981303272,15.372131164167886,2138443.663574294,0.0,1069764.2995898442,0.0,0.7524027132260848
93.98372650146484,3153,3138,2393,2456,5642,5705,2424.731262649361,5673.184083587904,140.52368368179793,132.12573134229353,-0.8361749643310077,2.7643051418582786e-07,2.6796953088932406e-07,-9.123773764785809e-10,11.857745170593262,11.491008758544922,-0.09828320145606995,0.007116506341844797,0.007568833418190479,9.007548214867711e-05,2003173.25,2003879.5,2047.3536376953125,2063.014404296875,2426,5673,2427,5672,0,16.51209904960879,23.351634419204643,15.408366756736312,2220327.610236129,0.0,1110475.8182348632,0.0,0.7826231468087671
