objID,pairID,expID,detector,ccd_type,GRID_X0,GRID_X0ERR,GRID_Y0,GRID_Y0ERR,GRID_THETA,GRID_THETAERR,group,orientation,dX,dY,dR,theta
197,97,3021122200205,53,E2V,2045.50941819543,0.0796326587390125,-82.5541918543825,0.0903557529983489,0.0936632892605328,8.94250777231375e-05,1,268.7481321455505,-1.6642760999200163,223.92287651431252,223.92906118094817,89.57416480982175
198,103,3021122200208,53,E2V,2034.1756061769,0.0151234283606095,4118.5189582876,0.0153612469485538,0.0934719820812281,1.25550604142749e-05,0,90.92420610981682,-1.4893799309500082,243.80961336981272,243.81416247649824,89.64999689106398
199,102,3021122200216,53,E2V,-61.5215454210567,0.0168069068533089,2012.40986187319,0.0147003254673494,0.0936135672812536,1.38610494993062e-05,3,0.3449025903994425,126.36934565429692,3.3245916903599664,126.41307064937068,178.4929799046473
200,104,3021122200217,53,E2V,4140.10175962134,0.0207683083562674,2023.21633106268,0.018356528866465,0.0934806544318231,2.08435673075012e-05,2,179.37846618635464,154.34326193891502,5.033204232860044,154.42530767589298,178.13222037735108
201,46,3021122200155,54,E2V,2108.60133509841,0.0294930223964286,-120.495878915831,0.0227450000988443,0.0925539625311365,1.95786536393669e-05,1,267.0681545086675,-2.367868765320054,240.92537985250055,240.93701554464698,89.43690233563991
202,92,3021122200211,54,E2V,-95.7752798877441,0.0171001050007367,2076.34560388491,0.0146304585321092,0.0925936142765742,1.36154643500144e-05,3,2.086267331931765,153.7123300058247,-8.35356419790969,153.9391517146569,183.11070433977991
203,105,3021122200218,54,E2V,2102.80679319018,0.0153019174027804,4179.5050704091,0.015469780888556,0.0923210494845771,1.28465872165254e-05,0,92.70062803235348,2.374700333600231,222.1260746055932,222.1387679387908,90.61251306832577
204,106,3021122200227,54,E2V,4206.58780070256,0.0213688269833653,2081.84527099627,0.0185511572933922,0.0923298442031013,2.0079625347167e-05,2,177.87579725051918,129.13775408477704,-0.4730347010499827,129.1386204506179,180.2098748805611
205,48,3021122200156,55,E2V,2081.90798496919,0.0164901299017311,-117.933222937335,0.0189770149865221,0.0910759118925308,1.70094103428441e-05,1,267.78527282235575,-5.668749181399562,239.67810807452497,239.7451359412017,88.6451208945137
206,107,3021122200219,55,E2V,2082.9679081304,0.0150877339372061,4183.09703405247,0.0154262711551194,0.0908038835461637,1.22636357490541e-05,0,92.17646041140074,5.034792274819665,219.82015539061558,219.87780663178575,91.31208132055067
207,106,3021122200227,55,E2V,-18.5499533822167,0.016132020353721,2082.31830569732,0.0142752067031662,0.0909948937467812,1.38760461989312e-05,3,2.3352800621522363,129.13775408477704,-0.4730347010499827,129.1386204506179,180.2098748805611
208,108,3021122200228,55,E2V,4183.0444526143,0.0218106626605732,2081.69451543387,0.0188865714970286,0.0908818009658378,1.96865604876571e-05,2,177.85686097470455,129.93239145908683,0.5765593457199429,129.93367065913483,179.74575854442017
209,50,3021122200157,56,E2V,2060.68416902459,0.0831200810537975,-117.189257652644,0.0915554100050128,0.0924351801586703,7.75282607431876e-05,1,268.35820294828216,4.791817636609721,246.80978415916434,246.8562964012784,91.11225913840916
210,109,3021122200220,56,E2V,2055.41730588172,0.0151630564964286,4184.03530247407,0.0154814600550818,0.0921657850919026,1.2433439580071e-05,0,91.45350057902404,3.1430979447900427,219.67702646366797,219.69951074276344,90.8197213998369
211,108,3021122200228,56,E2V,-42.8879388447864,0.0164034049828743,2081.11795608815,0.0142172539618194,0.092372364083574,1.35262722373006e-05,3,2.2738771348825537,129.93239145908683,0.5765593457199429,129.93367065913483,179.74575854442017
